"Prevalence_ID","Topography","Topo_code","Morphology","Morpho_code","Sample_analyzed","Sample_mutated","Population","Country","Comment","Ref_ID","Cross_Ref_ID","Title","Authors","S_Ref_Year","Journal","Volume","Start_page","End_page","PubMed","Ref_comment","Tissue_processing","Start_material","Prescreening","Material_sequenced","exon2","exon3","exon4","exon5","exon6","exon7","exon8","exon9","exon10","exon11","Exclude_analysis","WGS_WXS"
"1","ESOPHAGUS","C15","Squamous cell carcinoma, NOS","8070/3","14","5","Western Europe","France","","24","","Frequent mutation of the p53 gene in human esophageal cancer","Hollstein MC;Metcalf RA;Welsh JA;Montesano R;Harris CC;","1990","Proc Natl Acad Sci U S A","87","9958","9961","0002263646","","frozen","DNA","none","direct","false","false","false","true","true","true","true","true","false","false","false","No"
"2","ESOPHAGUS","C15","Cancer, NOS","8000/3","10","5","Eastern Asia","China","","26","","Archival analysis of p53 genetic and protein alterations in Chinese esophageal cancer","Bennett WP;Hollstein MC;He A;Zhu SM;Resau JH;Trump BF;Metcalf RA;Welsh JA;Midgley C;Lane DP;","1991","Oncogene","6","1779","1784","0001923503","","fixed","DNA","none","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"3","ESOPHAGUS","C15","Squamous cell carcinoma, NOS","8070/3","34","15","South America","Uruguay","","27","","Genetic analysis of human esophageal tumors from two high incidence geographic areas: frequent p53 base substitutions and absence of ras mutations","Hollstein MC;Peri L;Mandard AM;Welsh JA;Montesano R;Metcalf RA;Bak M;Harris CC;","1991","Cancer Res","51","4102","4106","0001855226","","frozen","DNA","none","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"4","STOMACH","C16","Cancer, NOS","8000/3","14","9","Eastern Asia","Japan","","29","","Detection of frequent p53 gene mutations in primary gastric cancer by cell sorting and polymerase chain reaction single-strand conformation polymorphism analysis","Tamura G;Kihana T;Nomura K;Terada M;Sugimura T;Hirohashi S;","1991","Cancer Res","51","3056","3058","0002032245","","frozen","DNA","SSCP","cloned","false","false","true","true","true","true","true","false","false","false","false","No"
"5","PANCREAS","C25","Adenocarcinoma, NOS","8140/3","14","6","Eastern Asia","Japan","","51","51","Pancreatic adenocarcinomas frequently show p53 gene mutations","Scarpa A;Capelli P;Mukai K;Zamboni G;Oda T;Iacono C;Hirohashi S;","1993","Am J Pathol","142","1534","1543","0008494051","See ref 871, 687; prevalence for Italian patients in 1564","fixed/frozen","DNA","SSCP","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"6","BRONCHUS AND LUNG","C34","Non-small cell carcinoma (C34._)","8046/3","30","14","Eastern Asia","Japan","","68","68","p53 mutations in non-small cell lung cancer in Japan: association between mutations and smoking","Suzuki H;Takahashi T;Kuroishi T;Suyama M;Ariyoshi Y;Takahashi T;Ueda R;","1992","Cancer Res","52","734","736","0001310070","Add data from ref 563","frozen","RNA","none","cloned","false","false","true","true","true","true","true","true","false","false","false","No"
"7","STOMACH","C16","Adenocarcinoma, NOS","8140/3","10","5","Eastern Asia","Japan","","69","","p53 gene mutations in gastric and esophageal cancers","Imazeki F;Omata M;Nose H;Ohto M;Isono K;","1992","Gastroenterology","103","892","896","0001499939","","frozen","DNA","none","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"8","ESOPHAGUS","C15","Squamous cell carcinoma, NOS","8070/3","5","4","Eastern Asia","Japan","","69","","p53 gene mutations in gastric and esophageal cancers","Imazeki F;Omata M;Nose H;Ohto M;Isono K;","1992","Gastroenterology","103","892","896","0001499939","","frozen","DNA","none","direct","false","false","false","true","true","true","true","false","false","false","false","No"
"9","BREAST","C50","Infiltrating duct carcinoma, NOS (C50._)","8500/3","24","11","Southern Europe","Italy","","77","","Mutations in the p53 gene in primary human breast cancers","Osborne RJ;Merlo GR;Mitsudomi T;Venesio T;Liscia DS;Cappa AP;Chiba I;Takahashi T;Nau MM;Callahan R;","1991","Cancer Res","51","6194","6198","0001682043","","frozen","RNA","SSCP","cloned","false","false","true","true","true","true","true","true","false","false","false","No"
"10","COLORECTUM, NOS","C18-C20","Adenocarcinoma, NOS","8140/3","14","8","Eastern Asia","Japan","","86","","Mutations of the P53 gene, including an intronic point mutation, in colorectal tumors","Ishioka C;Sato T;Gamoh M;Suzuki T;Shibata H;Kanamaru R;Wakui A;Yamazaki T;","1991","Biochem Biophys Res Commun","177","901","906","0001647768","","frozen","DNA","none","cloned","false","false","true","true","true","true","true","true","false","false","false","No"
